,id,sku_name
335,11386,Ribena Pineapple And Passion Fruit Plastic Bottle 500 ml
336,11354,Relentless Origin Energy Drink Sleek Can 500 ml
337,11367,Red Bull Zero Sleek Can 250 ml
338,11453,Oasis Summer Fruits Plastic Bottle 250 ml
339,11458,Oasis Citrus Punch Plastic Bottle 250 ml
340,11368,Lucozade Zero Pink Lemonade Plastic Bottle 380 ml
341,11488,Lucozade Energy Brazilian Mango And Mandarin Plastic Bottle 380 ml
342,11369,Lipton Ice Tea Lemon Plastic Bottle 1500 ml
343,11371,Lipton Ice Tea Lemon Plastic Bottle 1250 ml
344,11380,IRN-BRU Sugar Free Can 330 ml
345,11353,IRN-BRU Plastic Bottle 500 ml
346,11507,IRN-BRU Can 330 ml
347,11379,Highland Spring Still Spring Water Plastic Bottle 1000 ml
348,11387,Frutti Fresh Pink Grapefruit Plastic Bottle 2000 ml
349,11360,Fever-Tree Sicilian Lemon Tonic Glass Bottle 200 ml
350,11359,Fever-Tree Refreshingly Light Tonic Water Glass Bottle 200 ml
351,11355,Fever-Tree Premium Indian Tonic Water Glass Bottle 200 ml
352,11372,Fever-Tree Premium Indian Tonic Water Can 150 ml
353,11356,Fever-Tree Naturally Light Tonic Water Glass Bottle 200 ml
354,11358,Fever-Tree Mediterranean Tonic Water Glass Bottle 200 ml
355,11381,Fever-Tree Mediterranean Tonic Water Can 150 ml
356,11376,Fever-Tree Indian Tonic Water Can 150 ml
357,11382,Fever-Tree Refreshingly Light Elderflower Tonic Water Can 150 ml
358,11383,Fever-Tree Aromatic Tonic Water Can 150 ml
359,11454,Fanta Zero Sugar Fruit Twist Can 330 ml
360,11375,Evian Eau Minerale Naturelle Plastic Bottle 1000 ml
361,11500,Euro Shopper Sport Isotonic Hydration Tropical Plastic Bottle 500 ml 
