id,name,size,sizeUnit,category,brand,images,level1,level2,designChanges
885,AQUELLE SPARKLING PEACH LITE 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/895/original,,,
752,AQUELLE SPARKLING PINEAPPLE 1.5L PET,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/762/original,,,
892,AQUELLE SPARKLING PINEAPPLE 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/902/original,,,
751,AQUELLE SPARKLING STRAWBERRY 1.5L PET,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/761/original,,,
888,AQUELLE SPARKLING STRAWBERRY 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/898/original,,,
743,AQUELLE SPARKLING UNFLAVOURED WATER 1.5L PET,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/753/original,,,
880,AQUELLE SPARKLING UNFLAVOURED WATER 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/890/original,,,
3595,Aquelle Sparkling Water Naartjie Flavoured Wrap Plastic 6 Pack x 500 ml,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/3595/Front20190225003511/original,WATER,https://services.traxretail.com/images/traxus/3/original,https://services.traxretail.com/images/traxus/ccza/Product_Images/3595/dvc/Front20190611025236/original
749,AQUELLE SPARKLING YOUNGBERRY LITE 1.5L PET,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/759/original,,,
886,AQUELLE SPARKLING YOUNGBERRY LITE 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/896/original,,,
889,AQUELLE STILL APPLE WATER 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/899/original,,,
3305,Aquelle Still Natural Spring Water Wrap Plastic 6 Pack x 500 ml,500.0,ml,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/3305/Front20181123110228/original,WATER,https://services.traxretail.com/images/traxus/3/original,https://services.traxretail.com/images/traxus/ccza/Product_Images/3305/dvc/Front20190611060028/original
891,AQUELLE STILL ORANGE WATER 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/901/original,,,
890,AQUELLE STILL RASPBERRY WATER 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/900/original,,,
742,AQUELLE STILL UNFLAVOURED WATER 1.5L PET,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/752/original,,,
879,AQUELLE STILL UNFLAVOURED WATER 500ML PET,0.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/889/original,,,
932,AQUELLE STILL UNFLAVOURED WATER 5L BOTTLE,5.0,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/943/original,,,
946,AQUELLE STILL UNFLAVOURED WATER 750ML PET,0.75,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/957/original,,,
3306,Aquelle Watermelon Flavored Sparkling Drink Bottle 1.5 l,1.5,l,WATER,AQUELLE,https://services.traxretail.com/images/traxus/ccza/Product_Images/3306/Front20181123110228/original,,,
1322,Bonaqua Applemint 6x500ml,0.5,l,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/6684/original,WATER,https://services.traxretail.com/images/traxus/1/original,
1323,Bonaqua Lemon 6x500ml,0.5,l,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/6688/original,WATER,https://services.traxretail.com/images/traxus/1/original,
1324,Bonaqua Litchi 6x500ml,0.5,l,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/6692/original,WATER,https://services.traxretail.com/images/traxus/1/original,
1325,Bonaqua Naartjie 6x500ml,0.5,l,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/6696/original,WATER,https://services.traxretail.com/images/traxus/1/original,
3037,Bonaqua Premium Still Water 6x500ml,500.0,ml,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/3037/Front20180911164558/original,WATER,https://services.traxretail.com/images/traxus/1/original,
4247,Bonaqua Prepared Still Water Bottle 300 ml,300.0,ml,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/4247/Front20190618151021/original,WATER,https://services.traxretail.com/images/traxus/1/original,
3156,Bonaqua Pump Berry Flavoured Water 750ml,750.0,ml,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/3156/Front20181113053640/original,WATER,https://services.traxretail.com/images/traxus/1/original,
3152,Bonaqua Pump Berry Flavoured Water 750ml x 6 Pack,750.0,ml,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/3152/Front20181113053640/original,WATER,https://services.traxretail.com/images/traxus/1/original,
3154,Bonaqua Pump Lemon Flavoured Water 750ml,750.0,ml,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/3154/Front20181113053640/original,WATER,https://services.traxretail.com/images/traxus/1/original,
3153,Bonaqua Pump Lemon Flavoured Water 750ml x 6 Pack,750.0,ml,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/3153/Front20181113053640/original,WATER,https://services.traxretail.com/images/traxus/1/original,
3155,Bonaqua Pump Peach Flavoured Water 750ml,750.0,ml,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/3155/Front20181113053640/original,WATER,https://services.traxretail.com/images/traxus/1/original,
3151,Bonaqua Pump Peach Flavoured Water 750ml x 6 Pack,750.0,ml,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/3151/Front20181113053640/original,WATER,https://services.traxretail.com/images/traxus/1/original,
625,BONAQUA PUMP STILL UNFLAVOURED WATER 750ML PET,0.75,l,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/635/original,WATER,https://services.traxretail.com/images/traxus/1/original,https://services.traxretail.com/images/traxus/ccza/Dvc_Images/BONAQUAPUMPSTILLUNFLAVOUREDWATER750MLPET_24012018/23c62750-04c4-11e8-9510-a756dc31d470/original
628,BONAQUA SPARKLING  FLAVOURED LEMON LIME 500ML PET,0.5,l,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/638/original,WATER,https://services.traxretail.com/images/traxus/1/original,
630,BONAQUA SPARKLING  FLAVOURED LITCHI 500ML PET,0.5,l,WATER,BONAQUA,https://services.traxretail.com/images/traxus/ccza/Product_Images/640/original,WATER,https://services.traxretail.com/images/traxus/1/original,
